?LEWI?SKI,_W?adis?aw 19244
LANDON,_Charles_Paul 20780
LANDSEER,_Charles 20781
LANDSEER,_Sir_Edwin_Henry 20782
LANE,_Fitz_Hugh 20783
LANEN,_Jasper_van_der 20784
LANEUVILLE,_Jean-Louis 20785
LANFRANCO,_Giovanni 20786
LANGETTI,_Giovanni_Battista 20787
LANGLOIS,_Jérôme-Martin 20788
LANINO,_Bernardino 20789
LAPITO,_Louis-Auguste 20790
LAPORTE,_George_Henry 20791
LARCIANI,_Giovanni_di_Lorenzo 20792
LARGILLI?RE,_Nicolas_de 20793
LASSALLE-BORDES,_Gustave 20794
LASTMAN,_Pieter_Pietersz. 20795
LAURENS,_Jean-Paul 20796
LAURETI,_Tommaso 20797
LAURI,_Filippo 20798
LAWRENCE,_Sir_Thomas 20799
LAWSON,_Ernst 20800
LAZZARINI,_Gregorio 20801
LE_BRUN,_Charles 20802
LE_GROS,_Pierre_the_Younger 20803
LE_LORRAIN,_Louis-Joseph 20804
LE_NAIN_brothers 20805
LE_PRINCE,_Jean-Baptiste 20806
LE_SUEUR,_Eustache 20807
LEAR,_Edward 20808
LEBARBIER,_Jean-Jacques-François 20809
LEBEDA,_Otakar 20810
LEBOURG,_Albert-Charles 20811
LECLERC,_Jean 20812
LEDERER,_Jörg 20813
LEDESMA,_Blas_de 20814
LEE,_Frederick_Richard 20815
LEEMANS,_Johannes 20816
LEEMPUT,_Remigius_van 20817
LEEN,_Willem_van 20818
LEERMANS,_Pieter 20819
LEF?VRE,_Robert 20820
LEFEBVRE,_Claude 20821
LEFEBVRE,_Jules-Joseph 20822
LEGA,_Silvestro 20823
LEGROS,_Alphonse 20824
LEHMANN,_Henri 20825
LEIBL,_Wilhelm 20826
LEICHER,_Felix_Ivo 20827
LEICKERT,_Charles_Henri_Joseph 20828
LEISTIKOW,_Walter 20829
LEITCH,_William_Leighton 20830
LELIE,_Adriaan_de 20831
LELY,_Sir_Peter 20832
LEMBERGER,_Georg 20833
LEMMEN,_Georges 20834
LEMOINE,_Marie-Victoire 20835
LEMONNIER,_Anicet-Charles-Gabriel 20836
LEMOYNE,_François 20837
LENBACH,_Franz_von 20838
LENS,_Andries_Cornelis 20839
LEONARDO_DA_PISTOIA 20840
LEONARDO_DI_BERNARDINO_DEL_SIGNORACCIO 20841
LEONARDO_da_Vinci 20842
LEONI,_Ottavio 20843
LEONI,_Pompeo 20844
LEPRINCE,_Auguste-Xavier 20845
LEROLLE,_Henry 20846
LETHI?RE,_Guillaume 20847
LEUTZE,_Emanuel_Gottlieb 20848
LEVECQ,_Jacobus 20849
LEVITAN,_Isaak_Ilyich 20850
LEVITSKY,_Dmitry_Grigorevich 20851
LEYDEN,_Aertgen_van 20852
LEYDEN,_Lucas_van 20853
LEYGEBE,_Paul_Carl 20854
LEYS,_Henri 20855
LEYSTER,_Judith 20856
LEYTENS,_Gysbrecht 20857
LHERMITTE,_Léon-Augustin 20858
LIBALT,_Gottfried 20859
LIBERALE_da_Verona 20860
LIBERI,_Marco 20861
LIBERI,_Pietro 20862
LICINIO,_Bernardino 20863
LIEBERMANN,_Max 20864
LIEFERINXE,_Josse 20865
LIEVENS,_Jan 20866
LIEZEN-MAYER,_Sándor 20867
LIGETI,_Antal 20868
LIGORIO,_Pirro 20869
LIGOZZI,_Jacopo 20870
LIMOSIN,_Jean 20871
LIMOSIN,_Léonard 20872
LIN,_Herman_van 20873
LINARD,_Jacques 20874
LINGELBACH,_Johannes 20875
LINT,_Hendrik_Frans_van 20876
LINT,_Pieter_van 20877
LION,_Angelo 20878
LIONE,_Andrea_di 20879
LIOTARD,_Étienne 20880
LIPPARINI,_Ludovico 20881
LIPPI,_Filippino 20882
LIPPI,_Fra_Filippo 20883
LIPPI,_Lorenzo 20884
LIPPO_D'ANDREA_DI_LIPPO 20885
LIPPO_DI_DALMASIO 20886
LISAERT,_Pieter_III 20887
LISIEWSKA,_Anna_Dorothea 20888
LISS,_Johann 20889
LISSE,_Dirck_van_der 20890
LLANOS_VALDÉS,_Sebastián_de 20891
LLANOS,_Fernando 20892
LOARTE,_Alejandro_de 20893
LOCATELLI,_Andrea 20894
LOCHNER,_Stefan 20895
LOIR,_Luigi 20896
LOISEAU,_Gustave 20897
LOMAZZO,_Giovan_Paolo 20898
LOMBARD,_Lambert 20899
LOMBARDI,_Giovanni_Domenico 20900
LONGHI,_Alessandro 20901
LONGHI,_Barbara 20902
LONGHI,_Luca 20903
LONGHI,_Pietro 20904
LOO,_Carle_van 20905
LOO,_Charles-Amédée-Philippe_van 20906
LOO,_César_van 20907
LOO,_Jacob_van 20908
LOO,_Jean-Baptiste_van 20909
LOO,_Louis_Michel_van 20910
LOON,_Theodoor,_van 20911
LOOS,_Friedrich 20912
LORENTINO_D'AREZZO 20913
LORENZETTI,_Ambrogio 20914
LORENZETTI,_Pietro 20915
LORENZO_DA_VITERBO 20916
LORENZO_DI_ALESSANDRO_DA_SANSEVERINO 20917
LORENZO_DI_CREDI 20918
LORENZO_DI_NICCOL?_DI_MARTINO 20919
LORENZO_Monaco 20920
LORENZO_VENEZIANO 20921
LORME,_Anthonie_de 20922
LOTH,_Johann_Karl 20923
LOTTO,_Lorenzo 20924
LOTZ,_Károly 20925
LOUTHERBOURG,_Philip_Jacques_de 20926
LUCA_DI_TOMM? 20927
LUCAS_VELÁZQUEZ,_Eugenio 20928
LUCE,_Lucas 20929
LUCE,_Maximilien 20930
LUCHIAN,_?tefan 20931
LUINI,_Bernardino 20932
LUND,_Johan_Ludwig_Gebhard 20933
LUNDBERG,_Gustaf 20934
LUNDBYE,_Johan_Thomas 20935
LUNY,_Thomas 20936
LUTI,_Benedetto 20937
LUTTICHUIJS,_Isaac 20938
LUTTICHUIJS,_Simon 20939
LUYCKX,_Christiaen 20940
LUYCKX,_Frans 20941
LÉPICIÉ,_Nicolas-Bernard 20942
LÓPEZ_Y_PIQUER,_Bernardo 20943
LÓPEZ_Y_PIQUER,_Luis 20944
LÓPEZ_Y_PORTA?A,_Vicente 20945
MAAS,_Dirk 20946
MACCARI,_Cesare 20947
MACCHIETTI,_Girolamo 20948
MACHUCA,_Pedro 20949
MACHY,_Pierre-Antoine_de 20950
MACLISE,_Daniel 20951
MACRINO_D'ALBA 20952
MACTAGGART,_William 20953
MADARÁSZ,_Viktor 20954
MAELLA,_Mariano_Salvador_de 20955
MAES,_Nicolaes 20956
MAESTRI,_Michelangelo 20957
MAFFEI,_Francesco 20958
MAGATTI,_Pietro_Antonio 20959
MAGGIOTTO,_Domenico 20960
MAGINI,_Carlo 20961
MAGNASCO,_Alessandro 20962
MAGNI,_Cesare 20963
MAGNO,_Giovanni_Battista 20964
MAHU,_Cornelis 20965
MAIANO,_Benedetto_da 20966
MAINARDI,_Bastiano 20967
MAINERI,_Gian_Francesco 20968
MAINO,_Fray_Juan_Bautista 20969
MAITLAND,_Paul 20970
MAKART,_Hans 20971
MAKOVSKY,_Aleksandr_Vladimirovich 20972
MAKOVSKY,_Konstantin_Yegorovich 20973
MALER,_Hans 20974
MALINCONICO,_Nicola 20975
MALLET,_Jean-Baptiste 20976
MALOMBRA,_Pietro 20977
MALOUEL,_Jean 20978
MALTESE,_Francesco 20979
MAN,_Cornelis_de 20980
MANCINI,_Francesco 20981
MANDER,_Karel_van,_III 20982
MANDER,_Karel_van,_the_Elder 20983
MANDIJN,_Jan 20984
MANET,_Edouard 20985
MANETTI,_Rutilio 20986
MANFREDI,_Bartolomeo 20987
MANFREDINO_DA_PISTOIA 20988
MANGLARD,_Adrien 20989
MANSUETI,_Giovanni 20990
MANTEGNA,_Andrea 20991
MANUEL,_Niklaus 20992
MARASTONI,_Jakab 20993
MARATTI,_Carlo 20994
MARCHETTI,_Ludovico 20995
MARCONI,_Rocco 20996
MARGARITO_D'AREZZO 20997
MARIESCHI,_Michele 20998
MARINARI,_Onorio 20999
MARIO_DEI_FIORI 21000
MARIOTTO_DI_NARDO 21001
MARIS,_Jacobus_Hendricus 21002
MARIS,_Matthijs 21003
MARIS,_Willem 21004
MARKÓ,_András 21005
MARKÓ,_Károly_the_Elder 21006
MARLOW,_William 21007
MARMION,_Simon 21008
MARMITTA,_Francesco 21009
MARON,_Anton_von 21010
MAROT,_Daniel_I 21011
MARREL,_Jacob 21012
MARSEUS_VAN_SCHRIECK,_Otto 21013
MARSHALL,_Benjamin 21014
MARSTRAND,_Wilhelm_Nicolai 21015
MARTIN,_David 21016
MARTIN,_Jean-Baptiste 21017
MARTIN,_John 21018
MARTIN,_Pierre-Denis 21019
MARTINELLI,_Giovanni 21020
MARTINO_DI_BARTOLOMMEO 21021
MARTORELL,_Bernat 21022
MARTSZEN,_Jan_the_Younger 21023
MARTÍNEZ,_Jusepe 21024
MARZAL_DE_SAX,_Andrés 21025
MARZIALE,_Marco 21026
MARÉES,_George_de 21027
MARÉES,_Hans_von 21028
MASACCIO 21029
MASIP,_Vicente 21030
MASO_DI_BANCO 21031
MASOLINO_da_Panicale 21032
MASSARI,_Giorgio 21033
MASSOT,_Firmin 21034
MASSYS,_Cornelis 21035
MASSYS,_Jan 21036
MASSYS,_Quentin 21037
MASTELLETTA 21038
MASTER_Bertram 21039
MASTER_FRANCKE 21040
MASTER_M_S 21041
MASTER_THEODERIC 21042
MASTER_THOMAS_de_Coloswar 21043
MASTER_of_1310 21044
MASTER_of_1416 21045
MASTER_of_1456 21046
MASTER_of_1540s 21047
MASTER_of_AB_Monogram 21048
MASTER_of_AC_Monogram 21049
MASTER_of_Alkmaar 21050
MASTER_of_Bigallo 21051
MASTER_of_Budapest 21052
MASTER_of_Citt?_di_Castello 21053
MASTER_of_Eggenburg 21054
MASTER_of_Female_Half-lengths 21055
MASTER_of_Flora 21056
MASTER_of_Flémalle 21057
MASTER_of_Frankfurt 21058
MASTER_of_Heiligenkreuz 21059
MASTER_of_Hohenfurth 21060
MASTER_of_Hoogstraeten 21061
MASTER_of_Magdalen 21062
MASTER_of_Marradi 21063
MASTER_of_Monte_Oliveto 21064
MASTER_of_Moulins 21065
MASTER_of_Pratovecchio 21066
MASTER_of_Saint_Cecilia 21067
MASTER_of_Saint_Gilles 21068
MASTER_of_Saint_Veronica 21069
MASTER_of_San_Francesco_Bardi 21070
MASTER_of_St_Francis 21071
MASTER_of_the_Acquavella_Still-Life 21072
MASTER_of_the_Acts_of_Mercy 21073
MASTER_of_the_Aix_Annunciation 21074
MASTER_of_the_Albertini 21075
MASTER_of_the_Avignon_School 21076
MASTER_of_the_Bambino_Vispo 21077
MASTER_of_the_Berswordt_Altarpiece 21078
MASTER_of_the_Blue_Crucifixes 21079
MASTER_of_the_Blue_Jeans 21080
MASTER_of_the_Borgo_Crucifix 21081
MASTER_of_the_Brunswick_Monogram 21082
MASTER_of_the_Burg_Weiler_Altarpiece 21083
MASTER_of_the_Cassoni_Campana 21084
MASTER_of_the_Castello_Nativity 21085
MASTER_of_the_Castello_della_Manta 21086
MASTER_of_the_Catholic_Kings 21087
MASTER_of_the_Clarisse_Panel 21088
MASTER_of_the_Codex_of_Saint_George 21089
MASTER_of_the_Dominican_Effigies 21090
MASTER_of_the_Fontainebleau_School 21091
MASTER_of_the_Hartford_Still-life 21092
MASTER_of_the_Holy_Blood 21093
MASTER_of_the_Holy_Kinship 21094
MASTER_of_the_Housebook 21095
MASTER_of_the_Isaac_Stories 21096
MASTER_of_the_Joseph_Sequence 21097
MASTER_of_the_Legend_of_Saint_Barbara 21098
MASTER_of_the_Legend_of_Saint_Lucy 21099
MASTER_of_the_Legend_of_Saint_Ursula_(I) 21100
MASTER_of_the_Legend_of_Saint_Ursula_(II) 21101
MASTER_of_the_Life_of_Saint_John_the_Baptist 21102
MASTER_of_the_Life_of_the_Virgin 21103
MASTER_of_the_Lille_Adoration 21104
MASTER_of_the_Munich_Marian_Panels 21105
MASTER_of_the_Osservanza 21106
MASTER_of_the_Palazzo_Venezia_Madonna 21107
MASTER_of_the_Parrot 21108
MASTER_of_the_Pesaro_Crucifix 21109
MASTER_of_the_Pfullendorf_Altar 21110
MASTER_of_the_Polling_Panels 21111
MASTER_of_the_Prodigal_Son 21112
MASTER_of_the_St._Bartholomew_Altar 21113
MASTER_of_the_Story_of_Griselda 21114
MASTER_of_the_Straus_Madonna 21115
MASTER_of_the_Trebon_Altarpiece 21116
MASTER_of_the_Vienna_Adoration 21117
MASTER_of_the_View_of_Ste_Gudule 21118
MASTER_of_the_Virgo_inter_Virgines 21119
MASTER_of_the_Votive_Picture_of_Sankt_Lambrecht 21120
MASTER_of_Ávila 21121
MATEJKO,_Jan 21122
MATES,_Joan 21123
MATTEINI,_Teodoro 21124
MATTEIS,_Paolo_de 21125
MATTEO_DI_PACINO 21126
MATTEO_di_Giovanni 21127
MATTHIEU,_Georg_David 21128
MAULBERTSCH,_Franz_Anton 21129
MAUPERCHÉ,_Henri 21130
MAURER,_Hubert 21131
MAUVE,_Anton 21132
MAY,_Edward_Harrison 21133
MAYER,_Marie-Constance 21134
MAYR,_Johann_Ulrich 21135
MAZO,_Juan_Bautista_Martinez_del 21136
MAZONE,_Giovanni 21137
MAZZA,_Tommaso_del 21138
MAZZANTI,_Ludovico 21139
MAZZIERE,_Agnolo_di_Domenico 21140
MAZZOLA_BEDOLI,_Girolamo 21141
MAZZOLA,_Giuseppe 21142
MAZZOLINO,_Ludovico 21143
MAZZONI,_Sebastiano 21144
MCCULLOCH,_Horatio 21145
MCNICOLL,_Helen_Galloway 21146
MECKEL,_Adolf_von 21147
MEDARD,_Jules-Ferdinand 21148
MEDIEVAL_SCULPTOR,_Italian 21149
MEDNYÁNSZKY,_László 21150
MEI,_Bernardino 21151
MEIFRÉN_Y_ROIG,_Eliseo 21152
MEISSONIER,_Jean-Louis-Ernest 21153
MELBYE,_Anton 21154
MELLIN,_Charles 21155
MELONE,_Altobello 21156
MELOZZO_DA_FORLI 21157
MELZI,_Francesco 21158
MELÉNDEZ,_Luis 21159
MEMBERGER,_Kaspar_the_Elder 21160
MEMLING,_Hans 21161
MEMMI,_Lippo 21162
MEMMO_DI_FILIPPUCCIO 21163
MENEGHELLO_di_Giovanni_de'_Canali 21164
MENGOZZI_COLONNA,_Girolamo 21165
MENGS,_Anton_Raphael 21166
MENJAUD,_Alexandre 21167
MENZEL,_Adolph_von 21168
MERCIER,_Philip 21169
MERCK,_Jacob_Fransz._van_der 21170
MERCK,_Johann_Christof 21171
MERIAN,_Matthäus_the_Younger 21172
MERSSEMAN,_Auguste_Joseph_Marie_de 21173
MESSMER,_Franz 21174
METCALF,_Willard_Leroy 21175
METSU,_Gabriel 21176
MEULEN,_Adam_Frans_van_der 21177
MEULENER,_Pieter 21178
MEYNIER,_Charles 21179
MEYTENS,_Martin_van,_II 21180
MICHALLON,_Achille-Etna 21181
MICHAU,_Théobald 21182
MICHEL,_Georges 21183
MICHELANGELO_Buonarroti 21184
MICHELE_DA_VERONA 21185
MICHELE_DI_MATTEO 21186
MICHELE_PANNONIO 21187
MICHELI,_Parrasio 21188
MICHELINO_DA_BESOZZO 21189
MICHETTI,_Nicola 21190
MIEL,_Jan 21191
MIELICH,_Hans 21192
MIEREVELD,_Michiel_Jansz._van 21193
MIERIS,_Frans_van,_the_Elder 21194
MIERIS,_Frans_van,_the_Younger 21195
MIERIS,_Jan_van 21196
MIERIS,_Willem_van 21197
MIGLIARA,_Giovanni 21198
MIGNARD,_Pierre 21199
MIGNON,_Abraham 21200
MIJ,_Hieronymus_van_der 21201
MIJN,_George_van_der 21202
MIJN,_Heroman_van_der 21203
MIJTENS,_Daniel_I 21204
MIJTENS,_Daniel_II 21205
MIJTENS,_Jan 21206
MILANI,_Aureliano 21207
MILDORFER,_Joseph_Ignaz 21208
MILI?EVI?,_Kosta 21209
MILLAIS,_Sir_John_Everett 21210
MILLET,_Jean-François 21211
MINARDI,_Tommaso 21212
MINDERHOUT,_Hendrik_van 21213
MIR_TRINXET,_Joaquím 21214
MIROU,_Anton 21215
MOCHI,_Francesco 21216
MOEYAERT,_Claes_Cornelisz. 21217
MOILLON,_Louise 21218
MOJA,_Federico 21219
MOL,_Pieter_van 21220
MOLA,_Pier_Francesco 21221
MOLENAER,_Jan_Miense 21222
MOLENAER,_Klaes 21223
MOLINERI,_Giovanni_Antonio 21224
MOLYN,_Pieter_de 21225
MOMMERS,_Hendrick 21226
MOMPER,_Frans_de 21227
MOMPER,_Jan_de 21228
MOMPER,_Joos_de 21229
MOMPER,_Philips_de,_I 21230
MONALDI,_Paolo 21231
MONET,_Claude 21232
MONI,_Louis_de 21233
MONNOT,_Pierre_Etienne 21234
MONNOYER,_Jean-Baptiste 21235
MONSIAU,_Nicolas-André 21236
MONTAGNA,_Bartolomeo 21237
MONTI,_Francesco 21238
MONTICELLI,_Adolphe 21239
MONTORFANO,_Giovanni_Donato_da 21240
MONVOISIN,_Raymond_Auguste_Quinsac 21241
MOOR,_Carel_de_II 21242
MOR_VAN_DASHORST,_Anthonis 21243
MORALES,_Luis_de 21244
MORAZZONE 21245
MORBELLI,_Angelo 21246
MORE,_Jacob 21247
MOREAU,_Adrien 21248
MOREAU,_Gustave 21249
MOREELSE,_Paulus 21250
MORELLI,_Domenico 21251
MORET,_Henry 21252
MORETTO_da_Brescia 21253
MORISOT,_Berthe 21254
MORLAND,_George 21255
MORO,_Giuseppe_del 21256
MORO,_Lorenzo_del 21257
MORONE,_Domenico 21258
MORONE,_Francesco 21259
MORONI,_Giovanni_Battista 21260
MORRICE,_James_Wilson 21261
MORRIS,_William 21262
MOSER,_Lukas 21263
MOSKOS,_Elias 21264
MOSNIER,_Jean-Laurent 21265
MOSTAERT,_Gillis 21266
MOSTAERT,_Jan 21267
MOUCHERON,_Frederick_de 21268
MOUCHERON,_Isaac_de 21269
MOYA,_Pedro_de 21270
MULIER,_Pieter_the_Elder 21271
MULIER,_Pieter_the_Younger 21272
MULTSCHER,_Hans 21273
MUNARI,_Cristoforo 21274
MUNKÁCSY,_Mihály 21275
MUR,_Ramon_de 21276
MURA,_Francesco_de 21277
MURANT,_Emanuel 21278
MURILLO,_Bartolomé_Esteban 21279
MUSSCHER,_Michiel_van 21280
MUZIANO,_Girolamo 21281
MÁNYOKI,_Ádám 21282
MÄLESSKIRCHER,_Gabriel 21283
MÉNAGEOT,_François-Guillaume 21284
MÉSZÖLY,_Géza 21285
MÜLLER,_William_James 21286
NAGY_BALOGH,_János 21287
NAIVEU,_Matthijs 21288
NALDINI,_Giovan_Battista 21289
NAPOLETANO,_Filippo 21290
NARDO_DI_CIONE 21291
NASINI,_Giuseppe_Nicola 21292
NASMYTH,_Alexander 21293
NATOIRE,_Charles-Joseph 21294
NATTIER,_Jean-Marc 21295
NAVEZ,_François-Joseph 21296
NAZARI,_Bartolomeo 21297
NEBBIA,_Cesare 21298
NEEFFS,_Peeter_the_Elder 21299
NEEFFS,_Peeter_the_Younger 21300
NEER,_Aert_van_der 21301
NEER,_Eglon_van_der 21302
NEGRI,_Pietro 21303
NELLI,_Ottaviano 21304
NELLI,_Plautilla 21305
NERI,_Pietro_Martire 21306
NERLY,_Friedrich 21307
NEROCCIO_DE'_LANDI 21308
NETSCHER,_Caspar 21309
NETSCHER,_Constantijn 21310
NEUFCHATEL,_Nicolas 21311
NEUGEBAUER,_Josef 21312
NEUREUTHER,_Eugen 21313
NEYN,_Pieter_de 21314
NICCOL?_DA_FOLIGNO 21315
NICCOL?_DELL'_ARCA 21316
NICCOL?_DI_BUONACCORSO 21317
NICCOL?_DI_PIETRO 21318
NICCOL?_DI_PIETRO_GERINI 21319
NICCOL?_DI_SEGNA 21320
NICCOL?_DI_SER_SOZZO 21321
NICCOL?_DI_TOMMASO 21322
NICCOL?_PISANO 21323
NICKELEN,_Isaak_van 21324
NIEULANDT,_Adriaen_van,_the_Younger 21325
NIEULANDT,_Willem_van,_the_Younger 21326
NIGG,_Joseph 21327
NIKITIN,_Ivan_Nikitich 21328
NITTIS,_Giuseppe_de 21329
NOCRET,_Jean 21330
NOGARI,_Giuseppe 21331
NOLLEKENS,_Joseph_Francis 21332
NOMÉ,_François_de 21333
NONNOTTE,_Donat 21334
NONO,_Luigi 21335
NOOMS,_Reiner 21336
NOORDT,_Jan_van 21337
NORDSTRÖM,_Karl_Fredrik 21338
NOTKE,_Bernt 21339
NOVELLI,_Pietro 21340
NUVOLONE,_Carlo_Francesco 21341
NUVOLONE,_Panfilo 21342
NUYEN,_Wijnandus_Johannes_Josephus 21343
NUZI,_Allegretto 21344
NÚ?EZ_DE_VILLAVICENCIO,_Pedro 21345
O'CONNOR,_James_Arthur 21346
OCHTERVELT,_Jacob 21347
ODEKERKEN,_Willem_van 21348
ODERISI,_Roberto_d' 21349
ODEVAERE,_Joseph-Denis 21350
OEVER,_Hendrick_ten 21351
OGGIONO,_Marco_d' 21352
OLLIVIER,_Michel-Barthélémy 21353
OMMEGANCK,_Balthazar_Paul 21354
OOST,_Jacob_van,_the_Elder 21355
OOST,_Jacob_van,_the_Younger 21356
OOSTEN,_Izaac_van 21357
OOSTERWIJK,_Maria_van 21358
OPIE,_John 21359
ORCAGNA 21360
ORIOLI,_Pietro_di_Francesco_degli 21361
ORLEY,_Bernaert_van 21362
ORLOVSKY,_Aleksandr_Osipovich 21363
ORRENTE,_Pedro 21364
ORSI,_Lelio 21365
ORTOLANO 21366
OS,_Georgius_van 21367
OS,_Jan_van 21368
OSONA,_Francisco_de 21369
OSONA,_Rodrigo_de,_the_Younger 21370
OSTADE,_Adriaen_Jansz._van 21371
OSTADE,_Isaack_van 21372
OSTENDORFER,_Michael 21373
OUDRY,_Jean-Baptiste 21374
OUTIN,_Pierre 21375
OUWATER,_Albert_van 21376
OUWATER,_Isaak 21377
OVENS,_Jürgen 21378
OVERBECK,_Friedrich 21379
OVERBEKE,_Adriaen_van 21380
PACE_DEL_CAMPIDOGLIO,_Michele 21381
PACECCO 21382
PACHER,_Friedrich 21383
PACHER,_Michael 21384
PACINO_DI_BONAGUIDA 21385
PACKX,_Hendrick_Ambrosius 21386
PADOVANINO 21387
PAELINCK,_Joseph 21388
PAGANI,_Gregorio 21389
PAGANI,_Paolo 21390
PAGANINO,_Giovanni_Antonio 21391
PALAGI,_Pelagio 21392
PALAMEDESZ.,_Anthonie 21393
PALAMEDESZ.,_Palamedes 21394
PALIZZI,_Filippo 21395
PALIZZI,_Giuseppe 21396
PALMA_GIOVANE 21397
PALMA_VECCHIO 21398
PALMERINO_DI_GUIDO 21399
PALMEZZANO,_Marco 21400
PALOMINO,_Acislo_Antonio 21401
PANKIEWICZ,_Józef 21402
PANNINI,_Giovanni_Paolo 21403
PANTOJA_DE_LA_CRUZ,_Juan 21404
PAOLINI,_Pietro 21405
PAOLO_DI_GIOVANNI_FEI 21406
PAOLO_VENEZIANO 21407
PARENZANO,_Bernardino 21408
PARET_Y_ALCAZÁR,_Luis 21409
PARMIGIANINO 21410
PARRA_ABRIL,_Miguel 21411
PARROCEL,_Joseph 21412
PASCH,_Lorentz_the_Younger 21413
PASINELLI,_Lorenzo 21414
PASQUALINO_VENETO 21415
PASQUETTI,_Fortunato 21416
PASSEROTTI,_Bartolomeo 21417
PASSIGNANO 21418
PATCH,_Thomas 21419
PATEL,_Pierre 21420
PATEL,_Pierre-Antoine 21421
PATENIER,_Joachim 21422
PATER,_Jean_Baptiste_Joseph 21423
PATERSSON,_Benjamin 21424
PATON,_Sir_Joseph_Noel 21425
PAUDISS,_Christoph 21426
PAULI,_Hanna 21427
PAULSEN,_Julius 21428
PAÁL,_László 21429
PEALE,_James 21430
PEDON,_Bartolomeo 21431
PEETERS,_Bonaventura 21432
PEETERS,_Bonaventura_I 21433
PEETERS,_Clara 21434
PEETERS,_Gillis_I 21435
PELLEGRINI,_Giovanni_Antonio 21436
PELLEGRINI,_Girolamo 21437
PELLEGRINO_DA_SAN_DANIELE 21438
PELLIZZA_DA_VOLPEDO,_Giuseppe 21439
PENCZ,_Georg 21440
PENNACCHI,_Pier_Maria 21441
PENNI,_Giovan_Francesco 21442
PENNI,_Luca 21443
PENSIONANTE_DEL_SARACENI 21444
PEPIJN,_Marten 21445
PERANDA,_Sante 21446
PERCY,_Sidney_Richard 21447
PEREDA,_Antonio_de 21448
PERINO_DEL_VAGA 21449
PERONI,_Giuseppe 21450
PERRAULT,_Léon-Jean-Bazille 21451
PERRIER,_François 21452
PERRIN,_Jean-Charles-Nicaise 21453
PERRONNEAU,_Jean-Baptiste 21454
PERROT,_Antoine_Marie 21455
PERRY,_Lilla_Cabot 21456
PERUGINO,_Pietro 21457
PERUZZI,_Baldassare 21458
PERUZZINI,_Antonio_Francesco 21459
PESELLINO 21460
PESNE,_Antoine 21461
PETERSEN,_Anna 21462
PETERZANO,_Simone 21463
PETO,_John_Frederick 21464
PETRINI,_Giuseppe_Antonio 21465
PETROVI?,_Nadežda 21466
PEYRON,_Jean-François-Pierre 21467
PFORR,_Franz 21468
PHILIPSEN,_Theodor_Esbern 21469
PHILLIPS,_Thomas 21470
PIANCA,_Giuseppe_Antonio 21471
PIAZZA_DA_LODI,_Callisto 21472
PIAZZA_DA_LODI,_Martino 21473
PIAZZETTA,_Giovanni_Battista 21474
PICART,_Jean_Michel 21475
PICHLER,_Joseph_von 21476
PICKENOY,_Nicolaes_Eliasz. 21477
PICOT,_François-Edouard 21478
PIENEMAN,_Jan_Willem 21479
PIER_FRANCESCO_FIORENTINO 21480
PIERMATTEO_D'AMELIA 21481
PIERO_DELLA_FRANCESCA 21482
PIERO_DI_COSIMO 21483
PIERONI,_Alessandro 21484
PIERRE,_Jean-Baptiste-Marie 21485
PIERSON,_Christoffel 21486
PIETERSZ.,_Aert 21487
PIETERSZ.,_Pieter 21488
PIETRO_ALEMANNO 21489
PIETRO_DA_RIMINI 21490
PIETRO_DA_VICENZA 21491
PIETRO_DI_DOMENICO_DA_MONTEPULCIANO 21492
PIETRO_DI_DOMENICO_DA_SIENA 21493
PIETRO_DI_GIOVANNI_D'AMBROGIO 21494
PIETTE,_Ludovic 21495
PIGNONI,_Simone 21496
PILLEMENT,_Jean-Baptiste 21497
PILO,_Carl_Gustaf 21498
PILOTY,_Karl_Theodor_von 21499
PILS,_Isidore-Alexandre-Augustin 21500
PINO,_Marco 21501
PINTURICCHIO 21502
PIOLA,_Domenico 21503
PIOLA,_Paolo_Gerolamo 21504
PIREZ_D'ÉVORA,_Alvaro 21505
PISANELLO 21506
PISSARRO,_Camille 21507
PISSARRO,_Lucien 21508
PITTERIO,_Giacomo 21509
PITTONI,_Giambattista 21510
PLATTNER,_Hans 21511
PLATZER,_Johann_Georg 21512
PLEYDENWURFF,_Hans 21513
POCCETTI,_Bernardino 21514
POCOCK,_Nicholas 21515
PODESTA,_Giovanni_Andrea 21516
PODKOWI?SKI,_W?adys?aw 21517
POEL,_Egbert_van_der 21518
POELENBURGH,_Cornelis_van 21519
POL,_Christiaan_van 21520
POLACK,_Jan 21521
POLENOV,_Vasily_Dmitrievich 21522
POLIDORO_DA_LANCIANO 21523
POLLAIUOLO,_Antonio_del 21524
POLLAIUOLO,_Piero_del 21525
POLLAK,_Leopold 21526
POLO,_Bernardo 21527
POMARANCIO 21528
PONCE,_Antonio 21529
PONTORMO,_Jacopo 21530
POORTER,_Willem_de 21531
POPPI,_Francesco 21532
PORCELLIS,_Jan 21533
PORDENONE 21534
PORPORA,_Paolo 21535
POST,_Frans 21536
POST,_Pieter_Jansz 21537
POT,_Hendrick_Gerritsz 21538
POTTER,_Paulus 21539
POTTER,_Pieter_Symonsz. 21540
POTÉMONT,_Adolphe_Martial 21541
POULAKIS,_Theodoros 21542
POURBUS,_Frans_the_Elder 21543
POURBUS,_Frans_the_Younger 21544
POURBUS,_Pieter 21545
POUSSIN,_Nicolas 21546
POZZI,_Stefano 21547
POZZO,_Andrea 21548
